500,461,1,13,8,0
500,461,2,48,35,2
500,461,3,77,29,15
500,461,4,101,24,16
500,461,5,118,17,19
500,461,6,135,17,20
500,461,7,152,17,21
500,461,8,156,4,18
500,461,9,161,5,9
500,461,10,166,5,9
500,461,11,167,1,11
500,461,12,167,0,4
500,461,13,167,0,6
500,461,14,168,1,3
500,461,15,168,0,3
500,461,16,168,0,2
500,461,17,168,0,4
500,461,18,168,0,3
500,461,19,168,0,0
500,461,20,168,0,3
500,461,21,168,0,0
500,461,22,168,0,0
500,461,23,168,0,0
500,461,24,168,0,0
500,461,25,168,0,0
500,461,26,168,0,0
500,461,27,168,0,0
500,461,28,168,0,0
500,461,29,168,0,0
500,461,1,16,11,3
500,461,2,37,21,3
500,461,3,60,23,15
500,461,4,87,27,15
500,461,5,120,33,24
500,461,6,132,12,30
500,461,7,136,4,22
500,461,8,138,2,15
500,461,9,138,0,6
500,461,10,139,1,3
500,461,11,140,1,2
500,461,12,140,0,2
500,461,13,140,0,0
500,461,14,140,0,0
500,461,15,140,0,0
500,461,16,140,0,0
500,461,17,140,0,0
500,461,18,140,0,0
500,461,19,140,0,0
500,461,20,140,0,0
500,461,21,140,0,0
500,461,1,15,10,4
500,461,2,41,26,9
500,461,3,69,28,21
500,461,4,83,14,24
500,461,5,91,8,19
500,461,6,99,8,13
500,461,7,102,3,5
500,461,8,102,0,6
500,461,9,102,0,1
500,461,10,102,0,0
500,461,11,102,0,0
500,461,12,102,0,0
500,461,13,102,0,0
500,461,14,102,0,0
500,461,15,102,0,0
500,461,16,102,0,0
500,461,17,102,0,0
500,461,18,102,0,0
500,461,1,24,19,0
500,461,2,81,57,7
500,461,3,148,67,22
500,461,4,184,36,26
500,461,5,203,19,26
500,461,6,211,8,22
500,461,7,214,3,24
500,461,8,214,0,23
500,461,9,214,0,16
500,461,10,216,2,10
500,461,11,216,0,11
500,461,12,216,0,10
500,461,13,216,0,2
500,461,14,216,0,1
500,461,15,216,0,6
500,461,16,216,0,3
500,461,17,216,0,2
500,461,18,216,0,0
500,461,19,216,0,1
500,461,20,216,0,1
500,461,21,216,0,1
500,461,22,216,0,2
500,461,23,216,0,0
500,461,24,216,0,0
500,461,25,216,0,0
500,461,26,216,0,0
500,461,27,216,0,0
500,461,28,216,0,0
500,461,29,216,0,0
500,461,30,216,0,0
500,461,31,216,0,0
500,461,1,10,5,1
500,461,2,50,40,2
500,461,3,113,63,20
500,461,4,159,46,42
500,461,5,180,21,44
500,461,6,191,11,38
