result,graph,config,type,operation,method,generator
0.312683735,sf13,4,vertex,deletion,adjlist,Scale Free
0.42450243,sf13,4,vertex,deletion,adjlist,Scale Free
0.312079024,sf13,4,vertex,deletion,adjlist,Scale Free
0.30777853,sf13,4,vertex,deletion,adjlist,Scale Free
0.401410061,sf14,4,vertex,deletion,adjlist,Scale Free
0.332178,sf14,4,vertex,deletion,adjlist,Scale Free
0.302774721,sf14,4,vertex,deletion,adjlist,Scale Free
0.412562802,sf14,4,vertex,deletion,adjlist,Scale Free
0.535704985,sf14,4,vertex,deletion,adjlist,Scale Free
0.414288542,sf15,4,vertex,deletion,adjlist,Scale Free
0.321152844,sf15,4,vertex,deletion,adjlist,Scale Free
0.43491265,sf15,4,vertex,deletion,adjlist,Scale Free
0.41705897,sf15,4,vertex,deletion,adjlist,Scale Free
0.41485991,sf15,4,vertex,deletion,adjlist,Scale Free
0.401827639,sf16,5,vertex,deletion,adjlist,Scale Free
0.387466825,sf16,5,vertex,deletion,adjlist,Scale Free
0.391399809,sf16,5,vertex,deletion,adjlist,Scale Free
0.485518163,sf16,5,vertex,deletion,adjlist,Scale Free
0.363808991,sf16,5,vertex,deletion,adjlist,Scale Free
0.275951978,sf17,5,vertex,deletion,adjlist,Scale Free
0.393620558,sf17,5,vertex,deletion,adjlist,Scale Free
0.388314654,sf17,5,vertex,deletion,adjlist,Scale Free
0.378254008,sf17,5,vertex,deletion,adjlist,Scale Free
0.474886127,sf17,5,vertex,deletion,adjlist,Scale Free
0.485231491,sf18,5,vertex,deletion,adjlist,Scale Free
0.492777711,sf18,5,vertex,deletion,adjlist,Scale Free
0.385511643,sf18,5,vertex,deletion,adjlist,Scale Free
0.486648828,sf18,5,vertex,deletion,adjlist,Scale Free
0.387853331,sf18,5,vertex,deletion,adjlist,Scale Free
0.310922498,sf19,6,vertex,deletion,adjlist,Scale Free
0.41880253,sf19,6,vertex,deletion,adjlist,Scale Free
0.432599965,sf19,6,vertex,deletion,adjlist,Scale Free
0.513141981,sf19,6,vertex,deletion,adjlist,Scale Free
0.210245255,sf19,6,vertex,deletion,adjlist,Scale Free
0.211084204,sf20,6,vertex,deletion,adjlist,Scale Free
0.211833367,sf20,6,vertex,deletion,adjlist,Scale Free
0.212756447,sf20,6,vertex,deletion,adjlist,Scale Free
0.315807811,sf20,6,vertex,deletion,adjlist,Scale Free
0.214682467,sf20,6,vertex,deletion,adjlist,Scale Free
0.322090977,sf21,6,vertex,deletion,adjlist,Scale Free
0.380589578,sf21,6,vertex,deletion,adjlist,Scale Free
0.523927654,sf21,6,vertex,deletion,adjlist,Scale Free
0.213678953,sf21,6,vertex,deletion,adjlist,Scale Free
0.213872063,sf21,6,vertex,deletion,adjlist,Scale Free
0.353560151,sf22,7,vertex,deletion,adjlist,Scale Free
0.334177158,sf22,7,vertex,deletion,adjlist,Scale Free
0.569821666,sf22,7,vertex,deletion,adjlist,Scale Free
0.432032716,sf22,7,vertex,deletion,adjlist,Scale Free
0.457773598,sf22,7,vertex,deletion,adjlist,Scale Free
0.330322809,sf23,7,vertex,deletion,adjlist,Scale Free
0.54598389,sf23,7,vertex,deletion,adjlist,Scale Free
0.536430801,sf23,7,vertex,deletion,adjlist,Scale Free
0.578154264,sf23,7,vertex,deletion,adjlist,Scale Free
0.339842277,sf23,7,vertex,deletion,adjlist,Scale Free
0.328975421,sf24,7,vertex,deletion,adjlist,Scale Free
0.432568675,sf24,7,vertex,deletion,adjlist,Scale Free
0.347883724,sf24,7,vertex,deletion,adjlist,Scale Free
0.443443958,sf24,7,vertex,deletion,adjlist,Scale Free
0.464972321,sf24,7,vertex,deletion,adjlist,Scale Free
1.109248944,sf25,8,vertex,deletion,adjlist,Scale Free
1.1023266,sf25,8,vertex,deletion,adjlist,Scale Free
1.070398161,sf25,8,vertex,deletion,adjlist,Scale Free
1.246437648,sf25,8,vertex,deletion,adjlist,Scale Free
1.087233201,sf25,8,vertex,deletion,adjlist,Scale Free
0.991510503,sf26,8,vertex,deletion,adjlist,Scale Free
1.088970143,sf26,8,vertex,deletion,adjlist,Scale Free
1.30979713,sf26,8,vertex,deletion,adjlist,Scale Free
1.119637961,sf26,8,vertex,deletion,adjlist,Scale Free
1.241322293,sf26,8,vertex,deletion,adjlist,Scale Free
1.20068733,sf27,8,vertex,deletion,adjlist,Scale Free
1.105775196,sf27,8,vertex,deletion,adjlist,Scale Free
1.262947411,sf27,8,vertex,deletion,adjlist,Scale Free
1.215356077,sf27,8,vertex,deletion,adjlist,Scale Free
1.297968903,sf27,8,vertex,deletion,adjlist,Scale Free
0.008408384,sf01,0,vertex,deletion,adjmat,Scale Free
0.00877536,sf01,0,vertex,deletion,adjmat,Scale Free
0.008260195,sf01,0,vertex,deletion,adjmat,Scale Free
0.008422617,sf01,0,vertex,deletion,adjmat,Scale Free
0.008191728,sf01,0,vertex,deletion,adjmat,Scale Free
0.00806659,sf02,0,vertex,deletion,adjmat,Scale Free
0.008596662,sf02,0,vertex,deletion,adjmat,Scale Free
0.00833387,sf02,0,vertex,deletion,adjmat,Scale Free
0.008396738,sf02,0,vertex,deletion,adjmat,Scale Free
0.00834363,sf02,0,vertex,deletion,adjmat,Scale Free
0.008252529,sf03,0,vertex,deletion,adjmat,Scale Free
0.008581054,sf03,0,vertex,deletion,adjmat,Scale Free
0.008510065,sf03,0,vertex,deletion,adjmat,Scale Free
0.008459157,sf03,0,vertex,deletion,adjmat,Scale Free
0.008292369,sf03,0,vertex,deletion,adjmat,Scale Free
0.008890685,sf04,1,vertex,deletion,adjmat,Scale Free
0.008723488,sf04,1,vertex,deletion,adjmat,Scale Free
0.008644008,sf04,1,vertex,deletion,adjmat,Scale Free
0.008649467,sf04,1,vertex,deletion,adjmat,Scale Free
0.008651192,sf04,1,vertex,deletion,adjmat,Scale Free
0.0087306,sf05,1,vertex,deletion,adjmat,Scale Free
0.008569184,sf05,1,vertex,deletion,adjmat,Scale Free
0.008722452,sf05,1,vertex,deletion,adjmat,Scale Free
0.008681269,sf05,1,vertex,deletion,adjmat,Scale Free
0.008661467,sf05,1,vertex,deletion,adjmat,Scale Free
0.008693778,sf06,1,vertex,deletion,adjmat,Scale Free
0.008529939,sf06,1,vertex,deletion,adjmat,Scale Free
0.008929059,sf06,1,vertex,deletion,adjmat,Scale Free
0.00905279,sf06,1,vertex,deletion,adjmat,Scale Free
0.008978053,sf06,1,vertex,deletion,adjmat,Scale Free
0.008927506,sf07,2,vertex,deletion,adjmat,Scale Free
0.008768514,sf07,2,vertex,deletion,adjmat,Scale Free
0.008961399,sf07,2,vertex,deletion,adjmat,Scale Free
0.008920281,sf07,2,vertex,deletion,adjmat,Scale Free
0.009017778,sf07,2,vertex,deletion,adjmat,Scale Free
0.008725716,sf08,2,vertex,deletion,adjmat,Scale Free
0.008780926,sf08,2,vertex,deletion,adjmat,Scale Free
0.00867006,sf08,2,vertex,deletion,adjmat,Scale Free
0.008917747,sf08,2,vertex,deletion,adjmat,Scale Free
0.008674974,sf08,2,vertex,deletion,adjmat,Scale Free
0.008649875,sf09,2,vertex,deletion,adjmat,Scale Free
0.0086263,sf09,2,vertex,deletion,adjmat,Scale Free
0.008575884,sf09,2,vertex,deletion,adjmat,Scale Free
0.008750331,sf09,2,vertex,deletion,adjmat,Scale Free
0.008486122,sf09,2,vertex,deletion,adjmat,Scale Free
0.030048716,sf10,3,vertex,deletion,adjmat,Scale Free
0.028362327,sf10,3,vertex,deletion,adjmat,Scale Free
0.028314451,sf10,3,vertex,deletion,adjmat,Scale Free
0.030561188,sf10,3,vertex,deletion,adjmat,Scale Free
0.030122063,sf10,3,vertex,deletion,adjmat,Scale Free
0.0310395,sf11,3,vertex,deletion,adjmat,Scale Free
0.031551057,sf11,3,vertex,deletion,adjmat,Scale Free
0.02892056,sf11,3,vertex,deletion,adjmat,Scale Free
0.028419933,sf11,3,vertex,deletion,adjmat,Scale Free
0.030766761,sf11,3,vertex,deletion,adjmat,Scale Free
0.028587267,sf12,3,vertex,deletion,adjmat,Scale Free
0.028727888,sf12,3,vertex,deletion,adjmat,Scale Free
0.028528706,sf12,3,vertex,deletion,adjmat,Scale Free
0.030767645,sf12,3,vertex,deletion,adjmat,Scale Free
0.028385904,sf12,3,vertex,deletion,adjmat,Scale Free
0.029017406,sf13,4,vertex,deletion,adjmat,Scale Free
0.028330864,sf13,4,vertex,deletion,adjmat,Scale Free
0.02928785,sf13,4,vertex,deletion,adjmat,Scale Free
0.028780942,sf13,4,vertex,deletion,adjmat,Scale Free
0.028992403,sf13,4,vertex,deletion,adjmat,Scale Free
0.028939376,sf14,4,vertex,deletion,adjmat,Scale Free
0.029652129,sf14,4,vertex,deletion,adjmat,Scale Free
0.028906519,sf14,4,vertex,deletion,adjmat,Scale Free
0.028978846,sf14,4,vertex,deletion,adjmat,Scale Free
0.030335578,sf14,4,vertex,deletion,adjmat,Scale Free
0.028726557,sf15,4,vertex,deletion,adjmat,Scale Free
0.02918678,sf15,4,vertex,deletion,adjmat,Scale Free
0.029547767,sf15,4,vertex,deletion,adjmat,Scale Free
0.029149248,sf15,4,vertex,deletion,adjmat,Scale Free
0.031267967,sf15,4,vertex,deletion,adjmat,Scale Free
0.028762163,sf16,5,vertex,deletion,adjmat,Scale Free
0.031096111,sf16,5,vertex,deletion,adjmat,Scale Free
0.031141317,sf16,5,vertex,deletion,adjmat,Scale Free
0.03113059,sf16,5,vertex,deletion,adjmat,Scale Free
0.029054581,sf16,5,vertex,deletion,adjmat,Scale Free
0.028928695,sf17,5,vertex,deletion,adjmat,Scale Free
0.030800202,sf17,5,vertex,deletion,adjmat,Scale Free
0.028656608,sf17,5,vertex,deletion,adjmat,Scale Free
0.028622467,sf17,5,vertex,deletion,adjmat,Scale Free
0.030748146,sf17,5,vertex,deletion,adjmat,Scale Free
0.030584837,sf18,5,vertex,deletion,adjmat,Scale Free
0.030882956,sf18,5,vertex,deletion,adjmat,Scale Free
0.029001356,sf18,5,vertex,deletion,adjmat,Scale Free
0.030602783,sf18,5,vertex,deletion,adjmat,Scale Free
0.028662806,sf18,5,vertex,deletion,adjmat,Scale Free
0.054342537,sf19,6,vertex,deletion,adjmat,Scale Free
0.043160968,sf19,6,vertex,deletion,adjmat,Scale Free
0.04387503,sf19,6,vertex,deletion,adjmat,Scale Free
0.044230712,sf19,6,vertex,deletion,adjmat,Scale Free
0.044575227,sf19,6,vertex,deletion,adjmat,Scale Free
0.041206165,sf20,6,vertex,deletion,adjmat,Scale Free
0.043268,sf20,6,vertex,deletion,adjmat,Scale Free
0.043750965,sf20,6,vertex,deletion,adjmat,Scale Free
0.043969258,sf20,6,vertex,deletion,adjmat,Scale Free
0.050077996,sf20,6,vertex,deletion,adjmat,Scale Free
0.04545238,sf21,6,vertex,deletion,adjmat,Scale Free
0.050045314,sf21,6,vertex,deletion,adjmat,Scale Free
0.052097251,sf21,6,vertex,deletion,adjmat,Scale Free
0.041333361,sf21,6,vertex,deletion,adjmat,Scale Free
0.049888069,sf21,6,vertex,deletion,adjmat,Scale Free
0.043543025,sf22,7,vertex,deletion,adjmat,Scale Free
0.051971565,sf22,7,vertex,deletion,adjmat,Scale Free
0.044420458,sf22,7,vertex,deletion,adjmat,Scale Free
0.05104566,sf22,7,vertex,deletion,adjmat,Scale Free
0.052171873,sf22,7,vertex,deletion,adjmat,Scale Free
0.043826254,sf23,7,vertex,deletion,adjmat,Scale Free
0.043721617,sf23,7,vertex,deletion,adjmat,Scale Free
0.043803412,sf23,7,vertex,deletion,adjmat,Scale Free
0.044088597,sf23,7,vertex,deletion,adjmat,Scale Free
0.044305451,sf23,7,vertex,deletion,adjmat,Scale Free
0.051869902,sf24,7,vertex,deletion,adjmat,Scale Free
0.045894922,sf24,7,vertex,deletion,adjmat,Scale Free
0.044823639,sf24,7,vertex,deletion,adjmat,Scale Free
0.051857448,sf24,7,vertex,deletion,adjmat,Scale Free
0.053617833,sf24,7,vertex,deletion,adjmat,Scale Free
0.055386932,sf25,8,vertex,deletion,adjmat,Scale Free
0.043566703,sf25,8,vertex,deletion,adjmat,Scale Free
0.051847316,sf25,8,vertex,deletion,adjmat,Scale Free
0.044178791,sf25,8,vertex,deletion,adjmat,Scale Free
0.052591326,sf25,8,vertex,deletion,adjmat,Scale Free
0.051542013,sf26,8,vertex,deletion,adjmat,Scale Free
0.052524336,sf26,8,vertex,deletion,adjmat,Scale Free
0.043643361,sf26,8,vertex,deletion,adjmat,Scale Free
0.043146932,sf26,8,vertex,deletion,adjmat,Scale Free
0.044645076,sf26,8,vertex,deletion,adjmat,Scale Free
0.044025839,sf27,8,vertex,deletion,adjmat,Scale Free
0.043734789,sf27,8,vertex,deletion,adjmat,Scale Free
0.043661439,sf27,8,vertex,deletion,adjmat,Scale Free
0.044628619,sf27,8,vertex,deletion,adjmat,Scale Free
0.043351467,sf27,8,vertex,deletion,adjmat,Scale Free
0.047285096,sf01,0,vertex,deletion,incmat,Scale Free
0.047435115,sf01,0,vertex,deletion,incmat,Scale Free
0.047932926,sf01,0,vertex,deletion,incmat,Scale Free
0.047124689,sf01,0,vertex,deletion,incmat,Scale Free
0.047721735,sf01,0,vertex,deletion,incmat,Scale Free
0.048733771,sf02,0,vertex,deletion,incmat,Scale Free
0.047781318,sf02,0,vertex,deletion,incmat,Scale Free
0.04543815,sf02,0,vertex,deletion,incmat,Scale Free
0.048336248,sf02,0,vertex,deletion,incmat,Scale Free
0.046309844,sf02,0,vertex,deletion,incmat,Scale Free
0.045822812,sf03,0,vertex,deletion,incmat,Scale Free
0.048107219,sf03,0,vertex,deletion,incmat,Scale Free
0.046060409,sf03,0,vertex,deletion,incmat,Scale Free
0.047242299,sf03,0,vertex,deletion,incmat,Scale Free
0.046180881,sf03,0,vertex,deletion,incmat,Scale Free
0.105591027,sf04,1,vertex,deletion,incmat,Scale Free
0.105462103,sf04,1,vertex,deletion,incmat,Scale Free
0.105301108,sf04,1,vertex,deletion,incmat,Scale Free
0.100831552,sf04,1,vertex,deletion,incmat,Scale Free
0.107527438,sf04,1,vertex,deletion,incmat,Scale Free
0.103604245,sf05,1,vertex,deletion,incmat,Scale Free
0.106262909,sf05,1,vertex,deletion,incmat,Scale Free
0.106789722,sf05,1,vertex,deletion,incmat,Scale Free
0.103381306,sf05,1,vertex,deletion,incmat,Scale Free
0.100789601,sf05,1,vertex,deletion,incmat,Scale Free
0.103556937,sf06,1,vertex,deletion,incmat,Scale Free
0.109403887,sf06,1,vertex,deletion,incmat,Scale Free
0.107675888,sf06,1,vertex,deletion,incmat,Scale Free
0.106467862,sf06,1,vertex,deletion,incmat,Scale Free
0.103577908,sf06,1,vertex,deletion,incmat,Scale Free
0.180055766,sf07,2,vertex,deletion,incmat,Scale Free
0.164687485,sf07,2,vertex,deletion,incmat,Scale Free
0.167864712,sf07,2,vertex,deletion,incmat,Scale Free
0.170202507,sf07,2,vertex,deletion,incmat,Scale Free
0.173929934,sf07,2,vertex,deletion,incmat,Scale Free
0.171279329,sf08,2,vertex,deletion,incmat,Scale Free
0.173816128,sf08,2,vertex,deletion,incmat,Scale Free
0.175334308,sf08,2,vertex,deletion,incmat,Scale Free
0.177223195,sf08,2,vertex,deletion,incmat,Scale Free
0.171122696,sf08,2,vertex,deletion,incmat,Scale Free
0.168658791,sf09,2,vertex,deletion,incmat,Scale Free
0.179453559,sf09,2,vertex,deletion,incmat,Scale Free
0.168624229,sf09,2,vertex,deletion,incmat,Scale Free
0.187809854,sf09,2,vertex,deletion,incmat,Scale Free
0.176169039,sf09,2,vertex,deletion,incmat,Scale Free
0.290298295,sf10,3,vertex,deletion,incmat,Scale Free
0.297339412,sf10,3,vertex,deletion,incmat,Scale Free
0.297679227,sf10,3,vertex,deletion,incmat,Scale Free
0.315098014,sf10,3,vertex,deletion,incmat,Scale Free
0.320646033,sf10,3,vertex,deletion,incmat,Scale Free
0.292984073,sf11,3,vertex,deletion,incmat,Scale Free
0.321252578,sf11,3,vertex,deletion,incmat,Scale Free
0.324372234,sf11,3,vertex,deletion,incmat,Scale Free
0.290319894,sf11,3,vertex,deletion,incmat,Scale Free
0.319245193,sf11,3,vertex,deletion,incmat,Scale Free
0.29115143,sf12,3,vertex,deletion,incmat,Scale Free
0.300216311,sf12,3,vertex,deletion,incmat,Scale Free
0.300533061,sf12,3,vertex,deletion,incmat,Scale Free
0.334159577,sf12,3,vertex,deletion,incmat,Scale Free
0.286029679,sf12,3,vertex,deletion,incmat,Scale Free
0.928567699,sf13,4,vertex,deletion,incmat,Scale Free
0.904957979,sf13,4,vertex,deletion,incmat,Scale Free
0.923353546,sf13,4,vertex,deletion,incmat,Scale Free
0.873290293,sf13,4,vertex,deletion,incmat,Scale Free
0.90103371,sf13,4,vertex,deletion,incmat,Scale Free
0.832364793,sf14,4,vertex,deletion,incmat,Scale Free
0.940865209,sf14,4,vertex,deletion,incmat,Scale Free
0.843815455,sf14,4,vertex,deletion,incmat,Scale Free
0.895594009,sf14,4,vertex,deletion,incmat,Scale Free
0.856543441,sf14,4,vertex,deletion,incmat,Scale Free
0.884411469,sf15,4,vertex,deletion,incmat,Scale Free
0.93088793,sf15,4,vertex,deletion,incmat,Scale Free
0.932080055,sf15,4,vertex,deletion,incmat,Scale Free
0.880881874,sf15,4,vertex,deletion,incmat,Scale Free
0.916460792,sf15,4,vertex,deletion,incmat,Scale Free
2.257647329,sf16,5,vertex,deletion,incmat,Scale Free
2.367957505,sf16,5,vertex,deletion,incmat,Scale Free
2.32922503,sf16,5,vertex,deletion,incmat,Scale Free
2.350172364,sf16,5,vertex,deletion,incmat,Scale Free
2.355898682,sf16,5,vertex,deletion,incmat,Scale Free
2.265430403,sf17,5,vertex,deletion,incmat,Scale Free
2.2689609,sf17,5,vertex,deletion,incmat,Scale Free
2.362043925,sf17,5,vertex,deletion,incmat,Scale Free
2.178612742,sf17,5,vertex,deletion,incmat,Scale Free
2.251598239,sf17,5,vertex,deletion,incmat,Scale Free
2.462025686,sf18,5,vertex,deletion,incmat,Scale Free
2.291498965,sf18,5,vertex,deletion,incmat,Scale Free
2.394294273,sf18,5,vertex,deletion,incmat,Scale Free
2.270322825,sf18,5,vertex,deletion,incmat,Scale Free
2.25931008,sf18,5,vertex,deletion,incmat,Scale Free
0.512676072,sf19,6,vertex,deletion,incmat,Scale Free
0.510768757,sf19,6,vertex,deletion,incmat,Scale Free
0.520580334,sf19,6,vertex,deletion,incmat,Scale Free
0.514051118,sf19,6,vertex,deletion,incmat,Scale Free
0.514458334,sf19,6,vertex,deletion,incmat,Scale Free
0.505381654,sf20,6,vertex,deletion,incmat,Scale Free
0.549843285,sf20,6,vertex,deletion,incmat,Scale Free
0.500007191,sf20,6,vertex,deletion,incmat,Scale Free
0.515080209,sf20,6,vertex,deletion,incmat,Scale Free
0.542268819,sf20,6,vertex,deletion,incmat,Scale Free
0.517372982,sf21,6,vertex,deletion,incmat,Scale Free
0.498046564,sf21,6,vertex,deletion,incmat,Scale Free
0.510502606,sf21,6,vertex,deletion,incmat,Scale Free
0.511935318,sf21,6,vertex,deletion,incmat,Scale Free
0.558268153,sf21,6,vertex,deletion,incmat,Scale Free
2.836538893,sf22,7,vertex,deletion,incmat,Scale Free
2.832926513,sf22,7,vertex,deletion,incmat,Scale Free
2.783081427,sf22,7,vertex,deletion,incmat,Scale Free
2.912329437,sf22,7,vertex,deletion,incmat,Scale Free
2.75082512,sf22,7,vertex,deletion,incmat,Scale Free
2.729344146,sf23,7,vertex,deletion,incmat,Scale Free
2.720052419,sf23,7,vertex,deletion,incmat,Scale Free
2.833299247,sf23,7,vertex,deletion,incmat,Scale Free
2.713903136,sf23,7,vertex,deletion,incmat,Scale Free
2.733073502,sf23,7,vertex,deletion,incmat,Scale Free
3.252684658,sf24,7,vertex,deletion,incmat,Scale Free
2.859243709,sf24,7,vertex,deletion,incmat,Scale Free
2.819499305,sf24,7,vertex,deletion,incmat,Scale Free
2.736458071,sf24,7,vertex,deletion,incmat,Scale Free
3.529767863,sf24,7,vertex,deletion,incmat,Scale Free
6.119762646,sf25,8,vertex,deletion,incmat,Scale Free
6.194859566,sf25,8,vertex,deletion,incmat,Scale Free
5.811758796,sf25,8,vertex,deletion,incmat,Scale Free
6.044018902,sf25,8,vertex,deletion,incmat,Scale Free
5.626932423,sf25,8,vertex,deletion,incmat,Scale Free
5.848779674,sf26,8,vertex,deletion,incmat,Scale Free
6.530783787,sf26,8,vertex,deletion,incmat,Scale Free
6.250261702,sf26,8,vertex,deletion,incmat,Scale Free
5.858271676,sf26,8,vertex,deletion,incmat,Scale Free
6.230622563,sf26,8,vertex,deletion,incmat,Scale Free
5.584171856,sf27,8,vertex,deletion,incmat,Scale Free
5.991963306,sf27,8,vertex,deletion,incmat,Scale Free
6.220038535,sf27,8,vertex,deletion,incmat,Scale Free
5.934982503,sf27,8,vertex,deletion,incmat,Scale Free
5.777154468,sf27,8,vertex,deletion,incmat,Scale Free
0.008146771,er01,0,edge,addition,adjlist,Erdos Renyi 
0.008312608,er01,0,edge,addition,adjlist,Erdos Renyi 
0.008596152,er01,0,edge,addition,adjlist,Erdos Renyi 
0.008512653,er01,0,edge,addition,adjlist,Erdos Renyi 
0.008261543,er01,0,edge,addition,adjlist,Erdos Renyi 
0.008119232,er02,0,edge,addition,adjlist,Erdos Renyi 
0.009500002,er02,0,edge,addition,adjlist,Erdos Renyi 
0.008404883,er02,0,edge,addition,adjlist,Erdos Renyi 
0.008493672,er02,0,edge,addition,adjlist,Erdos Renyi 
0.009537332,er02,0,edge,addition,adjlist,Erdos Renyi 
0.008463769,er03,0,edge,addition,adjlist,Erdos Renyi 
0.008445886,er03,0,edge,addition,adjlist,Erdos Renyi 
0.008292761,er03,0,edge,addition,adjlist,Erdos Renyi 
0.008425214,er03,0,edge,addition,adjlist,Erdos Renyi 
0.008456196,er03,0,edge,addition,adjlist,Erdos Renyi 
0.010726349,er04,1,edge,addition,adjlist,Erdos Renyi 
0.010790211,er04,1,edge,addition,adjlist,Erdos Renyi 
0.010620156,er04,1,edge,addition,adjlist,Erdos Renyi 
0.011166144,er04,1,edge,addition,adjlist,Erdos Renyi 
0.010664686,er04,1,edge,addition,adjlist,Erdos Renyi 
0.010929244,er05,1,edge,addition,adjlist,Erdos Renyi 
0.010897515,er05,1,edge,addition,adjlist,Erdos Renyi 
0.010876,er05,1,edge,addition,adjlist,Erdos Renyi 
0.010722439,er05,1,edge,addition,adjlist,Erdos Renyi 
0.010664307,er05,1,edge,addition,adjlist,Erdos Renyi 
0.010292966,er06,1,edge,addition,adjlist,Erdos Renyi 
0.010524509,er06,1,edge,addition,adjlist,Erdos Renyi 
0.010122737,er06,1,edge,addition,adjlist,Erdos Renyi 
0.010627139,er06,1,edge,addition,adjlist,Erdos Renyi 
0.010031443,er06,1,edge,addition,adjlist,Erdos Renyi 
0.01302678,er07,2,edge,addition,adjlist,Erdos Renyi 
0.012744844,er07,2,edge,addition,adjlist,Erdos Renyi 
0.012825596,er07,2,edge,addition,adjlist,Erdos Renyi 
0.012917545,er07,2,edge,addition,adjlist,Erdos Renyi 
0.012411382,er07,2,edge,addition,adjlist,Erdos Renyi 
0.012812744,er08,2,edge,addition,adjlist,Erdos Renyi 
0.013006339,er08,2,edge,addition,adjlist,Erdos Renyi 
0.012953926,er08,2,edge,addition,adjlist,Erdos Renyi 
0.012543123,er08,2,edge,addition,adjlist,Erdos Renyi 
0.013154581,er08,2,edge,addition,adjlist,Erdos Renyi 
0.012830247,er09,2,edge,addition,adjlist,Erdos Renyi 
0.013039289,er09,2,edge,addition,adjlist,Erdos Renyi 
0.012782152,er09,2,edge,addition,adjlist,Erdos Renyi 
0.012840195,er09,2,edge,addition,adjlist,Erdos Renyi 
0.012482182,er09,2,edge,addition,adjlist,Erdos Renyi 
0.00502824,er10,3,edge,addition,adjlist,Erdos Renyi 
0.004754538,er10,3,edge,addition,adjlist,Erdos Renyi 
0.005255285,er10,3,edge,addition,adjlist,Erdos Renyi 
0.005112561,er10,3,edge,addition,adjlist,Erdos Renyi 
0.005029309,er10,3,edge,addition,adjlist,Erdos Renyi 
0.004740316,er11,3,edge,addition,adjlist,Erdos Renyi 
0.00480342,er11,3,edge,addition,adjlist,Erdos Renyi 
0.004232499,er11,3,edge,addition,adjlist,Erdos Renyi 
0.005034525,er11,3,edge,addition,adjlist,Erdos Renyi 
0.00508059,er11,3,edge,addition,adjlist,Erdos Renyi 
0.004841878,er12,3,edge,addition,adjlist,Erdos Renyi 
0.005100201,er12,3,edge,addition,adjlist,Erdos Renyi 
0.005309489,er12,3,edge,addition,adjlist,Erdos Renyi 
0.00500919,er12,3,edge,addition,adjlist,Erdos Renyi 
0.004952837,er12,3,edge,addition,adjlist,Erdos Renyi 
0.007214668,er13,4,edge,addition,adjlist,Erdos Renyi 
0.007211448,er13,4,edge,addition,adjlist,Erdos Renyi 
0.007658053,er13,4,edge,addition,adjlist,Erdos Renyi 
0.007318175,er13,4,edge,addition,adjlist,Erdos Renyi 
0.007551674,er13,4,edge,addition,adjlist,Erdos Renyi 
0.0072265,er14,4,edge,addition,adjlist,Erdos Renyi 
0.007468422,er14,4,edge,addition,adjlist,Erdos Renyi 
0.007488598,er14,4,edge,addition,adjlist,Erdos Renyi 
0.007359945,er14,4,edge,addition,adjlist,Erdos Renyi 
0.007203356,er14,4,edge,addition,adjlist,Erdos Renyi 
0.007494293,er15,4,edge,addition,adjlist,Erdos Renyi 
0.007488591,er15,4,edge,addition,adjlist,Erdos Renyi 
0.007150077,er15,4,edge,addition,adjlist,Erdos Renyi 
0.007349999,er15,4,edge,addition,adjlist,Erdos Renyi 
0.00716432,er15,4,edge,addition,adjlist,Erdos Renyi 
0.010126688,er16,5,edge,addition,adjlist,Erdos Renyi 
0.010421497,er16,5,edge,addition,adjlist,Erdos Renyi 
0.010727782,er16,5,edge,addition,adjlist,Erdos Renyi 
0.009722805,er16,5,edge,addition,adjlist,Erdos Renyi 
0.010790492,er16,5,edge,addition,adjlist,Erdos Renyi 
0.010225708,er17,5,edge,addition,adjlist,Erdos Renyi 
0.010635969,er17,5,edge,addition,adjlist,Erdos Renyi 
0.010503533,er17,5,edge,addition,adjlist,Erdos Renyi 
0.009951798,er17,5,edge,addition,adjlist,Erdos Renyi 
0.014846284,er17,5,edge,addition,adjlist,Erdos Renyi 
0.010536832,er18,5,edge,addition,adjlist,Erdos Renyi 
0.010174722,er18,5,edge,addition,adjlist,Erdos Renyi 
0.011126197,er18,5,edge,addition,adjlist,Erdos Renyi 
0.013554552,er18,5,edge,addition,adjlist,Erdos Renyi 
0.011079372,er18,5,edge,addition,adjlist,Erdos Renyi 
0.005788231,er19,6,edge,addition,adjlist,Erdos Renyi 
0.005651341,er19,6,edge,addition,adjlist,Erdos Renyi 
0.005337974,er19,6,edge,addition,adjlist,Erdos Renyi 
0.00559027,er19,6,edge,addition,adjlist,Erdos Renyi 
0.00790753,er19,6,edge,addition,adjlist,Erdos Renyi 
0.006017368,er20,6,edge,addition,adjlist,Erdos Renyi 
0.005837833,er20,6,edge,addition,adjlist,Erdos Renyi 
0.0061344,er20,6,edge,addition,adjlist,Erdos Renyi 
0.007078638,er20,6,edge,addition,adjlist,Erdos Renyi 
0.006992184,er20,6,edge,addition,adjlist,Erdos Renyi 
0.005349112,er21,6,edge,addition,adjlist,Erdos Renyi 
0.00549226,er21,6,edge,addition,adjlist,Erdos Renyi 
0.006638388,er21,6,edge,addition,adjlist,Erdos Renyi 
0.005555426,er21,6,edge,addition,adjlist,Erdos Renyi 
0.005491884,er21,6,edge,addition,adjlist,Erdos Renyi 
0.011970491,er22,7,edge,addition,adjlist,Erdos Renyi 
0.008079495,er22,7,edge,addition,adjlist,Erdos Renyi 
0.011747937,er22,7,edge,addition,adjlist,Erdos Renyi 
