infProb,recProb,numvert,degrees,iteration,totalinf,newinf,newrec
0.5,0.5,500,2,6,21,2,2
0.5,0.5,500,2,7,26,5,2
0.5,0.5,500,2,8,32,6,3
0.5,0.5,500,2,9,41,9,7
0.5,0.5,500,2,10,49,8,7
0.5,0.5,500,2,11,59,10,8
0.5,0.5,500,2,12,73,14,6
0.5,0.5,500,2,13,93,20,12
0.5,0.5,500,2,14,108,15,12
0.5,0.5,500,2,15,124,16,21
0.5,0.5,500,2,16,140,16,17
0.5,0.5,500,2,17,155,15,14
0.5,0.5,500,2,18,170,15,14
0.5,0.5,500,2,19,183,13,18
0.5,0.5,500,2,20,195,12,14
0.5,0.5,500,2,21,205,10,7
0.5,0.5,500,2,22,211,6,14
0.5,0.5,500,2,23,221,10,12
0.5,0.5,500,2,24,227,6,7
0.5,0.5,500,2,25,230,3,9
0.5,0.5,500,2,26,231,1,5
0.5,0.5,500,2,27,232,1,0
0.5,0.5,500,2,28,232,0,6
0.5,0.5,500,2,29,232,0,0
0.5,0.5,500,2,30,232,0,1
0.5,0.5,500,2,31,232,0,0
0.5,0.5,500,2,32,232,0,0
0.5,0.5,500,2,33,232,0,0
0.5,0.5,500,2,34,232,0,0
0.5,0.5,500,2,35,232,0,0
0.5,0.5,500,2,36,232,0,0
0.5,0.5,500,2,37,232,0,0
0.5,0.5,500,2,38,232,0,0
0.5,0.5,500,2,39,232,0,0
0.5,0.75,500,2,1,9,4,5
0.5,0.75,500,2,2,10,1,3
0.5,0.75,500,2,3,10,0,2
0.5,0.75,500,2,4,10,0,0
0.5,0.75,500,2,5,10,0,0
0.5,0.75,500,2,6,10,0,0
0.5,0.75,500,2,7,10,0,0
0.5,0.75,500,2,8,10,0,0
0.5,0.75,500,2,9,10,0,0
0.5,0.75,500,2,10,10,0,0
0.5,0.75,500,2,11,10,0,0
0.5,0.75,500,2,12,10,0,0
0.75,0.25,500,2,1,13,8,1
0.75,0.25,500,2,2,24,11,3
0.75,0.25,500,2,3,44,20,6
0.75,0.25,500,2,4,73,29,5
0.75,0.25,500,2,5,119,46,8
0.75,0.25,500,2,6,170,51,23
0.75,0.25,500,2,7,222,52,27
0.75,0.25,500,2,8,265,43,44
0.75,0.25,500,2,9,296,31,30
0.75,0.25,500,2,10,333,37,42
0.75,0.25,500,2,11,350,17,35
0.75,0.25,500,2,12,366,16,32
0.75,0.25,500,2,13,375,9,32
0.75,0.25,500,2,14,378,3,21
0.75,0.25,500,2,15,384,6,16
0.75,0.25,500,2,16,385,1,15
0.75,0.25,500,2,17,385,0,13
0.75,0.25,500,2,18,385,0,7
0.75,0.25,500,2,19,385,0,7
0.75,0.25,500,2,20,385,0,4
0.75,0.25,500,2,21,385,0,3
0.75,0.25,500,2,22,385,0,3
0.75,0.25,500,2,23,385,0,2
0.75,0.25,500,2,24,385,0,1
0.75,0.25,500,2,25,385,0,1
0.75,0.25,500,2,26,385,0,1
0.75,0.25,500,2,27,385,0,1
0.75,0.25,500,2,28,385,0,2
0.75,0.25,500,2,29,385,0,0
0.75,0.25,500,2,30,385,0,0
0.75,0.25,500,2,31,385,0,0
0.75,0.25,500,2,32,385,0,0
0.75,0.25,500,2,33,385,0,0
0.75,0.25,500,2,34,385,0,0
0.75,0.25,500,2,35,385,0,0
0.75,0.25,500,2,36,385,0,0
0.75,0.25,500,2,37,385,0,0
0.75,0.5,500,2,1,14,9,0
0.75,0.5,500,2,2,33,19,10
0.75,0.5,500,2,3,65,32,12
0.75,0.5,500,2,4,94,29,18
0.75,0.5,500,2,5,139,45,24
0.75,0.5,500,2,6,199,60,32
0.75,0.5,500,2,7,251,52,52
0.75,0.5,500,2,8,287,36,51
0.75,0.5,500,2,9,309,22,40
0.75,0.5,500,2,10,324,15,28
0.75,0.5,500,2,11,334,10,25
0.75,0.5,500,2,12,339,5,20
0.75,0.5,500,2,13,344,5,10
0.75,0.5,500,2,14,347,3,9
0.75,0.5,500,2,15,349,2,11
0.75,0.5,500,2,16,350,1,4
0.75,0.5,500,2,17,351,1,2
0.75,0.5,500,2,18,352,1,3
0.75,0.5,500,2,19,352,0,1
0.75,0.5,500,2,20,352,0,0
0.75,0.5,500,2,21,352,0,0
0.75,0.5,500,2,22,352,0,0
0.75,0.5,500,2,23,352,0,0
0.75,0.5,500,2,24,352,0,0
0.75,0.5,500,2,25,352,0,0
0.75,0.5,500,2,26,352,0,0
0.75,0.5,500,2,27,352,0,0
0.75,0.5,500,2,28,352,0,0
0.75,0.75,500,2,1,16,11,4
0.75,0.75,500,2,2,29,13,9
0.75,0.75,500,2,3,47,18,13
0.75,0.75,500,2,4,70,23,16
0.75,0.75,500,2,5,98,28,19
0.75,0.75,500,2,6,131,33,28
0.75,0.75,500,2,7,174,43,31
0.75,0.75,500,2,8,208,34,47
0.75,0.75,500,2,9,249,41,26
0.75,0.75,500,2,10,281,32,42
0.75,0.75,500,2,11,298,17,37
0.75,0.75,500,2,12,307,9,20
0.75,0.75,500,2,13,315,8,13
0.75,0.75,500,2,14,320,5,9
0.75,0.75,500,2,15,321,1,4
0.75,0.75,500,2,16,322,1,1
0.75,0.75,500,2,17,324,2,3
0.75,0.75,500,2,18,325,1,2
0.75,0.75,500,2,19,325,0,1
0.75,0.75,500,2,20,325,0,0
0.75,0.75,500,2,21,325,0,0
0.75,0.75,500,2,22,325,0,0
0.75,0.75,500,2,23,325,0,0
0.75,0.75,500,2,24,325,0,0
0.75,0.75,500,2,25,325,0,0
0.75,0.75,500,2,26,325,0,0
0.75,0.75,500,2,27,325,0,0
0.75,0.75,500,2,28,325,0,0
0.25,0.25,500,8,1,12,7,1
0.25,0.25,500,8,2,36,24,4
0.25,0.25,500,8,3,70,34,8
0.25,0.25,500,8,4,144,74,14
0.25,0.25,500,8,5,264,120,28
0.25,0.25,500,8,6,381,117,44
0.25,0.25,500,8,7,446,65,71
0.25,0.25,500,8,8,478,32,63
0.25,0.25,500,8,9,489,11,67
0.25,0.25,500,8,10,493,4,49
0.25,0.25,500,8,11,494,1,38
0.25,0.25,500,8,12,495,1,24
0.25,0.25,500,8,13,495,0,22
0.25,0.25,500,8,14,495,0,23
0.25,0.25,500,8,15,495,0,7
0.25,0.25,500,8,16,495,0,9
0.25,0.25,500,8,17,495,0,7
0.25,0.25,500,8,18,495,0,4
0.25,0.25,500,8,19,495,0,5
0.25,0.25,500,8,20,495,0,0
0.25,0.25,500,8,21,495,0,1
0.25,0.25,500,8,22,495,0,1
0.25,0.25,500,8,23,495,0,1
0.25,0.25,500,8,24,495,0,1
0.25,0.25,500,8,25,495,0,1
0.25,0.25,500,8,26,495,0,1
0.25,0.25,500,8,27,495,0,1
0.25,0.25,500,8,28,495,0,0
0.25,0.25,500,8,29,495,0,0
0.25,0.25,500,8,30,495,0,0
0.25,0.25,500,8,31,495,0,0
0.25,0.25,500,8,32,495,0,0
0.25,0.25,500,8,33,495,0,0
0.25,0.25,500,8,34,495,0,0
0.25,0.25,500,8,35,495,0,0
0.25,0.25,500,8,36,495,0,0
0.25,0.5,500,8,1,19,14,1
0.25,0.5,500,8,2,52,33,10
0.25,0.5,500,8,3,118,66,15
0.25,0.5,500,8,4,234,116,52
0.25,0.5,500,8,5,342,108,88
0.25,0.5,500,8,6,407,65,81
0.25,0.5,500,8,7,438,31,78
0.25,0.5,500,8,8,449,11,52
0.25,0.5,500,8,9,457,8,42
0.25,0.5,500,8,10,462,5,19
0.25,0.5,500,8,11,464,2,16
0.25,0.5,500,8,12,464,0,4
0.25,0.5,500,8,13,465,1,3
0.25,0.5,500,8,14,465,0,2
0.25,0.5,500,8,15,465,0,1
0.25,0.5,500,8,16,465,0,1
0.25,0.5,500,8,17,465,0,0
0.25,0.5,500,8,18,465,0,0
0.25,0.5,500,8,19,465,0,0
0.25,0.5,500,8,20,465,0,0
0.25,0.5,500,8,21,465,0,0
0.25,0.5,500,8,22,465,0,0
