infProb,recProb,numvert,degrees,iteration,totalinf,newinf,newrec
0.75,0.25,500,2,3,146,79,17
0.75,0.25,500,2,4,197,51,27
0.75,0.25,500,2,5,217,20,40
0.75,0.25,500,2,6,223,6,27
0.75,0.25,500,2,7,224,1,21
0.75,0.25,500,2,8,224,0,27
0.75,0.25,500,2,9,225,1,18
0.75,0.25,500,2,10,225,0,14
0.75,0.25,500,2,11,225,0,12
0.75,0.25,500,2,12,225,0,1
0.75,0.25,500,2,13,225,0,8
0.75,0.25,500,2,14,225,0,3
0.75,0.25,500,2,15,225,0,1
0.75,0.25,500,2,16,225,0,3
0.75,0.25,500,2,17,225,0,0
0.75,0.25,500,2,18,225,0,0
0.75,0.25,500,2,19,225,0,0
0.75,0.25,500,2,20,225,0,0
0.75,0.25,500,2,21,225,0,0
0.75,0.25,500,2,22,225,0,0
0.75,0.25,500,2,23,225,0,0
0.75,0.25,500,2,24,225,0,0
0.75,0.25,500,2,25,225,0,0
0.75,0.5,500,2,1,12,7,2
0.75,0.5,500,2,2,64,52,7
0.75,0.5,500,2,3,154,90,28
0.75,0.5,500,2,4,195,41,50
0.75,0.5,500,2,5,206,11,64
0.75,0.5,500,2,6,208,2,28
0.75,0.5,500,2,7,209,1,13
0.75,0.5,500,2,8,209,0,7
0.75,0.5,500,2,9,209,0,5
0.75,0.5,500,2,10,209,0,2
0.75,0.5,500,2,11,209,0,1
0.75,0.5,500,2,12,209,0,0
0.75,0.5,500,2,13,209,0,2
0.75,0.5,500,2,14,209,0,0
0.75,0.5,500,2,15,209,0,0
0.75,0.5,500,2,16,209,0,0
0.75,0.5,500,2,17,209,0,0
0.75,0.5,500,2,18,209,0,0
0.75,0.5,500,2,19,209,0,0
0.75,0.5,500,2,20,209,0,0
0.75,0.5,500,2,21,209,0,0
0.75,0.5,500,2,22,209,0,0
0.75,0.75,500,2,1,10,5,3
0.75,0.75,500,2,2,18,8,3
0.75,0.75,500,2,3,65,47,9
0.75,0.75,500,2,4,151,86,32
0.75,0.75,500,2,5,194,43,78
0.75,0.75,500,2,6,205,11,53
0.75,0.75,500,2,7,209,4,19
0.75,0.75,500,2,8,212,3,6
0.75,0.75,500,2,9,212,0,4
0.75,0.75,500,2,10,212,0,2
0.75,0.75,500,2,11,212,0,2
0.75,0.75,500,2,12,212,0,0
0.75,0.75,500,2,13,212,0,0
0.75,0.75,500,2,14,212,0,1
0.75,0.75,500,2,15,212,0,0
0.75,0.75,500,2,16,212,0,0
0.75,0.75,500,2,17,212,0,0
0.75,0.75,500,2,18,212,0,0
0.75,0.75,500,2,19,212,0,0
0.75,0.75,500,2,20,212,0,0
0.75,0.75,500,2,21,212,0,0
0.75,0.75,500,2,22,212,0,0
0.75,0.75,500,2,23,212,0,0
0.25,0.25,500,8,1,11,6,1
0.25,0.25,500,8,2,50,39,2
0.25,0.25,500,8,3,153,103,14
0.25,0.25,500,8,4,249,96,36
0.25,0.25,500,8,5,298,49,40
0.25,0.25,500,8,6,318,20,47
0.25,0.25,500,8,7,328,10,45
0.25,0.25,500,8,8,334,6,42
0.25,0.25,500,8,9,335,1,26
0.25,0.25,500,8,10,336,1,16
0.25,0.25,500,8,11,338,2,21
0.25,0.25,500,8,12,339,1,12
0.25,0.25,500,8,13,339,0,7
0.25,0.25,500,8,14,339,0,7
0.25,0.25,500,8,15,339,0,6
0.25,0.25,500,8,16,339,0,8
0.25,0.25,500,8,17,339,0,2
0.25,0.25,500,8,18,339,0,2
0.25,0.25,500,8,19,339,0,1
0.25,0.25,500,8,20,339,0,1
0.25,0.25,500,8,21,339,0,0
0.25,0.25,500,8,22,339,0,0
0.25,0.25,500,8,23,339,0,1
0.25,0.25,500,8,24,339,0,0
0.25,0.25,500,8,25,339,0,2
0.25,0.25,500,8,26,339,0,0
0.25,0.25,500,8,27,339,0,0
0.25,0.25,500,8,28,339,0,0
0.25,0.25,500,8,29,339,0,0
0.25,0.25,500,8,30,339,0,0
0.25,0.25,500,8,31,339,0,0
0.25,0.25,500,8,32,339,0,0
0.25,0.25,500,8,33,339,0,0
0.25,0.25,500,8,34,339,0,0
0.25,0.5,500,8,1,13,8,1
0.25,0.5,500,8,2,48,35,8
0.25,0.5,500,8,3,147,99,20
0.25,0.5,500,8,4,234,87,59
0.25,0.5,500,8,5,270,36,70
0.25,0.5,500,8,6,286,16,55
0.25,0.5,500,8,7,295,9,38
0.25,0.5,500,8,8,298,3,16
0.25,0.5,500,8,9,300,2,17
0.25,0.5,500,8,10,301,1,8
0.25,0.5,500,8,11,301,0,5
0.25,0.5,500,8,12,301,0,2
0.25,0.5,500,8,13,301,0,2
0.25,0.5,500,8,14,301,0,0
0.25,0.5,500,8,15,301,0,0
0.25,0.5,500,8,16,301,0,0
0.25,0.5,500,8,17,301,0,0
0.25,0.5,500,8,18,301,0,0
0.25,0.5,500,8,19,301,0,0
0.25,0.5,500,8,20,301,0,0
0.25,0.5,500,8,21,301,0,0
0.25,0.5,500,8,22,301,0,0
0.25,0.75,500,8,1,9,4,2
0.25,0.75,500,8,2,21,12,7
0.25,0.75,500,8,3,67,46,8
0.25,0.75,500,8,4,166,99,31
0.25,0.75,500,8,5,249,83,93
0.25,0.75,500,8,6,276,27,78
0.25,0.75,500,8,7,287,11,46
0.25,0.75,500,8,8,289,2,12
0.25,0.75,500,8,9,289,0,10
0.25,0.75,500,8,10,289,0,1
0.25,0.75,500,8,11,289,0,0
0.25,0.75,500,8,12,289,0,1
0.25,0.75,500,8,13,289,0,0
0.25,0.75,500,8,14,289,0,0
0.25,0.75,500,8,15,289,0,0
0.25,0.75,500,8,16,289,0,0
0.25,0.75,500,8,17,289,0,0
0.25,0.75,500,8,18,289,0,0
0.25,0.75,500,8,19,289,0,0
0.25,0.75,500,8,20,289,0,0
0.25,0.75,500,8,21,289,0,0
0.5,0.25,500,8,1,11,6,1
0.5,0.25,500,8,2,100,89,2
0.5,0.25,500,8,3,275,175,19
0.5,0.25,500,8,4,341,66,59
0.5,0.25,500,8,5,362,21,72
0.5,0.25,500,8,6,373,11,56
0.5,0.25,500,8,7,378,5,45
0.5,0.25,500,8,8,380,2,38
0.5,0.25,500,8,9,381,1,20
0.5,0.25,500,8,10,381,0,20
0.5,0.25,500,8,11,381,0,7
0.5,0.25,500,8,12,381,0,10
0.5,0.25,500,8,13,381,0,9
0.5,0.25,500,8,14,381,0,6
0.5,0.25,500,8,15,381,0,6
0.5,0.25,500,8,16,381,0,4
0.5,0.25,500,8,17,381,0,2
0.5,0.25,500,8,18,381,0,2
0.5,0.25,500,8,19,381,0,2
0.5,0.25,500,8,20,381,0,0
0.5,0.25,500,8,21,381,0,0
0.5,0.25,500,8,22,381,0,0
0.5,0.25,500,8,23,381,0,1
0.5,0.25,500,8,24,381,0,0
0.5,0.25,500,8,25,381,0,0
0.5,0.25,500,8,26,381,0,0
0.5,0.25,500,8,27,381,0,0
0.5,0.25,500,8,28,381,0,0
0.5,0.25,500,8,29,381,0,0
0.5,0.25,500,8,30,381,0,0
0.5,0.25,500,8,31,381,0,0
0.5,0.25,500,8,32,381,0,0
0.5,0.5,500,8,1,14,9,0
0.5,0.5,500,8,2,63,49,8
0.5,0.5,500,8,3,227,164,25
0.5,0.5,500,8,4,328,101,94
0.5,0.5,500,8,5,350,22,108
0.5,0.5,500,8,6,355,5,66
0.5,0.5,500,8,7,357,2,29
0.5,0.5,500,8,8,357,0,11
0.5,0.5,500,8,9,357,0,9
0.5,0.5,500,8,10,357,0,6
0.5,0.5,500,8,11,357,0,0
0.5,0.5,500,8,12,357,0,0
0.5,0.5,500,8,13,357,0,1
0.5,0.5,500,8,14,357,0,0
0.5,0.5,500,8,15,357,0,0
0.5,0.5,500,8,16,357,0,0
0.5,0.5,500,8,17,357,0,0
0.5,0.5,500,8,18,357,0,0
0.5,0.5,500,8,19,357,0,0
0.5,0.5,500,8,20,357,0,0
0.5,0.5,500,8,21,357,0,0
0.5,0.5,500,8,22,357,0,0
0.5,0.75,500,8,1,23,18,4
0.5,0.75,500,8,2,141,118,17
0.5,0.75,500,8,3,284,143,96
0.5,0.75,500,8,4,329,45,122
0.5,0.75,500,8,5,339,10,75
0.5,0.75,500,8,6,342,3,17
0.5,0.75,500,8,7,342,0,10
0.5,0.75,500,8,8,342,0,1
0.5,0.75,500,8,9,342,0,0
0.5,0.75,500,8,10,342,0,0
0.5,0.75,500,8,11,342,0,0
0.5,0.75,500,8,12,342,0,0
0.5,0.75,500,8,13,342,0,0
0.5,0.75,500,8,14,342,0,0
0.5,0.75,500,8,15,342,0,0
0.5,0.75,500,8,16,342,0,0
0.5,0.75,500,8,17,342,0,0
0.75,0.25,500,8,1,74,69,2
0.75,0.25,500,8,2,279,205,14
0.75,0.25,500,8,3,372,93,67
0.75,0.25,500,8,4,385,13,75
0.75,0.25,500,8,5,389,4,55
0.75,0.25,500,8,6,392,3,31
0.75,0.25,500,8,7,393,1,39
0.75,0.25,500,8,8,393,0,26
0.75,0.25,500,8,9,393,0,13
