generator,graph_id,config,method,khop,time
Erdos Renyi,e2,0,incmat,4,0.001042057
Erdos Renyi,e3,0,incmat,2,3.82E-04
Erdos Renyi,e3,0,incmat,3,4.26E-04
Erdos Renyi,e3,0,incmat,4,0.001370246
Erdos Renyi,e4,1,incmat,2,0.001679622
Erdos Renyi,e4,1,incmat,3,0.0084824
Erdos Renyi,e4,1,incmat,4,0.058049506
Erdos Renyi,e5,1,incmat,2,0.001525439
Erdos Renyi,e5,1,incmat,3,0.007810453
Erdos Renyi,e5,1,incmat,4,0.075685793
Erdos Renyi,e6,1,incmat,2,0.001644622
Erdos Renyi,e6,1,incmat,3,0.008705864
Erdos Renyi,e6,1,incmat,4,0.079085869
Erdos Renyi,e7,2,incmat,2,0.004517614
Erdos Renyi,e7,2,incmat,3,0.062976502
Erdos Renyi,e7,2,incmat,4,1.113262324
Erdos Renyi,e8,2,incmat,2,0.004147181
Erdos Renyi,e8,2,incmat,3,0.063980334
Erdos Renyi,e8,2,incmat,4,1.094705466
Erdos Renyi,e9,2,incmat,2,0.004429979
Erdos Renyi,e9,2,incmat,3,0.06023681
Erdos Renyi,e9,2,incmat,4,1.101485789
Erdos Renyi,e10,3,incmat,2,0.001320289
Erdos Renyi,e10,3,incmat,3,0.002127868
Erdos Renyi,e10,3,incmat,4,0.007413453
Erdos Renyi,e11,3,incmat,2,0.001409008
Erdos Renyi,e11,3,incmat,3,0.002658535
Erdos Renyi,e11,3,incmat,4,0.008233657
Erdos Renyi,e12,3,incmat,2,0.001327201
Erdos Renyi,e12,3,incmat,3,0.002735394
Erdos Renyi,e12,3,incmat,4,0.007150149
Erdos Renyi,e13,4,incmat,2,0.009481528
Erdos Renyi,e13,4,incmat,3,0.074105083
Erdos Renyi,e13,4,incmat,4,0.757295447
Erdos Renyi,e14,4,incmat,2,0.00939239
Erdos Renyi,e14,4,incmat,3,0.076336163
Erdos Renyi,e14,4,incmat,4,0.669820792
Erdos Renyi,e15,4,incmat,2,0.008966032
Erdos Renyi,e15,4,incmat,3,0.070911825
Erdos Renyi,e15,4,incmat,4,0.689804475
Erdos Renyi,e16,5,incmat,2,0.036889225
Erdos Renyi,e16,5,incmat,3,0.620690293
Erdos Renyi,e16,5,incmat,4,11.41930226
Scale Free,e1,0,adjlist,2,1.91E-05
Scale Free,e1,0,adjlist,3,1.29E-04
Scale Free,e1,0,adjlist,4,4.67E-04
Scale Free,e2,0,adjlist,2,3.56E-05
Scale Free,e2,0,adjlist,3,5.41E-05
Scale Free,e2,0,adjlist,4,5.38E-04
Scale Free,e3,0,adjlist,2,3.59E-05
Scale Free,e3,0,adjlist,3,1.02E-04
Scale Free,e3,0,adjlist,4,6.73E-04
Scale Free,e4,1,adjlist,2,1.38E-04
Scale Free,e4,1,adjlist,3,0.001573891
Scale Free,e4,1,adjlist,4,0.039124284
Scale Free,e5,1,adjlist,2,1.52E-04
Scale Free,e5,1,adjlist,3,0.001292008
Scale Free,e5,1,adjlist,4,0.040837181
Scale Free,e6,1,adjlist,2,1.48E-04
Scale Free,e6,1,adjlist,3,0.001438603
Scale Free,e6,1,adjlist,4,0.04536798
Scale Free,e7,2,adjlist,2,3.55E-04
Scale Free,e7,2,adjlist,3,0.007303214
Scale Free,e7,2,adjlist,4,0.298235916
Scale Free,e8,2,adjlist,2,3.09E-04
Scale Free,e8,2,adjlist,3,0.008123252
Scale Free,e8,2,adjlist,4,0.343190525
Scale Free,e9,2,adjlist,2,2.59E-04
Scale Free,e9,2,adjlist,3,0.006536026
Scale Free,e9,2,adjlist,4,0.297420418
Scale Free,e10,3,adjlist,2,8.31E-05
Scale Free,e10,3,adjlist,3,1.13E-04
Scale Free,e10,3,adjlist,4,0.052149841
Scale Free,e11,3,adjlist,2,2.04E-05
Scale Free,e11,3,adjlist,3,0.003385021
Scale Free,e11,3,adjlist,4,0.023810141
Scale Free,e12,3,adjlist,2,4.88E-05
Scale Free,e12,3,adjlist,3,6.92E-04
Scale Free,e12,3,adjlist,4,0.022179341
Scale Free,e13,4,adjlist,2,9.54E-04
Scale Free,e13,4,adjlist,3,0.040299784
Scale Free,e13,4,adjlist,4,2.308610053
Scale Free,e14,4,adjlist,2,3.79E-04
Scale Free,e14,4,adjlist,3,0.094397791
Scale Free,e14,4,adjlist,4,3.083122856
Scale Free,e15,4,adjlist,2,0.001229669
Scale Free,e15,4,adjlist,3,0.092360808
Scale Free,e15,4,adjlist,4,6.214099245
Scale Free,e16,5,adjlist,2,0.004654297
Scale Free,e16,5,adjlist,3,0.711379952
Scale Free,e16,5,adjlist,4,32.38733909
Scale Free,e1,0,adjmat,2,4.17E-04
Scale Free,e1,0,adjmat,3,9.50E-04
Scale Free,e1,0,adjmat,4,0.005069655
Scale Free,e2,0,adjmat,2,4.40E-04
Scale Free,e2,0,adjmat,3,7.87E-04
Scale Free,e2,0,adjmat,4,0.005322275
Scale Free,e3,0,adjmat,2,4.10E-04
Scale Free,e3,0,adjmat,3,5.02E-04
Scale Free,e3,0,adjmat,4,0.006201339
Scale Free,e4,1,adjmat,2,7.50E-04
Scale Free,e4,1,adjmat,3,0.004094634
Scale Free,e4,1,adjmat,4,0.040904142
Scale Free,e5,1,adjmat,2,6.78E-04
Scale Free,e5,1,adjmat,3,0.008147815
Scale Free,e5,1,adjmat,4,0.096173281
Scale Free,e6,1,adjmat,2,6.69E-04
Scale Free,e6,1,adjmat,3,0.005248859
Scale Free,e6,1,adjmat,4,0.066781945
Scale Free,e7,2,adjmat,2,8.19E-04
Scale Free,e7,2,adjmat,3,0.012827073
Scale Free,e7,2,adjmat,4,0.497507947
Scale Free,e8,2,adjmat,2,8.97E-04
Scale Free,e8,2,adjmat,3,0.016878596
Scale Free,e8,2,adjmat,4,0.262225965
Scale Free,e9,2,adjmat,2,0.001039716
Scale Free,e9,2,adjmat,3,0.017394373
Scale Free,e9,2,adjmat,4,0.466475927
Scale Free,e10,3,adjmat,2,0.001496624
Scale Free,e10,3,adjmat,3,0.0037595
Scale Free,e10,3,adjmat,4,0.073398039
Scale Free,e11,3,adjmat,2,0.001798359
Scale Free,e11,3,adjmat,3,0.002485591
Scale Free,e11,3,adjmat,4,0.117171631
Scale Free,e12,3,adjmat,2,0.00136589
Scale Free,e12,3,adjmat,3,0.005987254
Scale Free,e12,3,adjmat,4,0.04526397
Scale Free,e13,4,adjmat,2,0.002582912
